Multiple, Synchronized, Thread Num, my_pthread Avg Time, Reg pthread Avg Time
1000000000.000000, 0, 1, 0.000000, 1.532452
1000000000.000000, 0, 2, 0.000000, 3.068437
1000000000.000000, 0, 3, 0.000000, 4.599384
1000000000.000000, 0, 4, 0.000000, 6.139903
1000000000.000000, 0, 5, 0.000000, 8.036908
1000000000.000000, 0, 6, 0.000000, 9.962656
1000000000.000000, 0, 7, 0.000000, 11.935163
1000000000.000000, 0, 8, 0.000000, 13.874280
1000000000.000000, 0, 9, 0.000000, 15.550837
1000000000.000000, 0, 10, 0.000000, 17.252726
1000000000.000000, 0, 11, 0.000000, 18.991066
1000000000.000000, 0, 12, 0.000000, 20.704472
1000000000.000000, 0, 13, 0.000000, 22.452906
1000000000.000000, 0, 14, 0.000000, 24.216383
1000000000.000000, 0, 15, 0.000000, 25.980450
